English,Signs,Unicode Signs
Answer,"d""Q6L-d!69SLJ!v",∣ⴱₒ⩇☓-∣ⵀ⩇ɤ⁊☓ᘕⵀ⁼
Anxious,qP!9Lwy,ᕬ⸝ⵀɤ☓ᣛᴺ
Any,aP&IA,റ⸝O̮ᘖᐸ
"Appear, show up",d(b+DL,∣ᓂΠ◷ᐲ☓
Apple,dR(6MJy,∣℩ᓂ⩇ⴳᘕᴺ
Apply-lipstick,dR!6Cy,∣℩ⵀ⩇ⵢᴺ
Appointment,"s$""HL",രⵕⴱꕊ☓
Approximately,p!Hy,Жⵀꕊᴺ
Argue,d((JDvy,∣ᓂᓂᘕᐲ⁼ᴺ
Arithmetic,k&%MBxy,७O̮Ȏⴳᐳᙾᴺ
Arm,b#!MFGy,Πⵚⵀⴳᘐᕤᴺ
Army,a!8;Lvy,റⵀᑯᕟ☓⁼ᴺ
Arrive,"b""!J""L",Πⴱⵀᘕⴱ☓
"Ask for, request",b!!BAEL,ΠⵀⵀᐳᐸṾ☓
Ask-him,d!G:PdRN,∣ⵀᕤᑲ⸝∣℩¦
Assistant,aP%&DLy,റ⸝ȎO̮ᐲ☓ᴺ
Astound,"uR!6LJ""E",ᐯ℩ⵀ⩇☓ᘕⴱṾ
Astounded 1,hR!!LE,⫪℩ⵀⵀ☓Ṿ
Astounded 2,"hR!!LJ""E",⫪℩ⵀⵀ☓ᘕⴱṾ
Attend,d!8S9SGJ!vy,∣ⵀᑯ⁊ɤ⁊ᕤᘕⵀ⁼ᴺ
Aunt,a%5LEy,റȎᒍ☓Ṿᴺ
Australia,b%0LIL,ΠȎᨓ☓ᘖ☓
"Avenge, get even",oQ!!DL,Оₒⵀⵀᐲ☓
Avoid,aP($LHF,റ⸝ᓂⵕ☓ꕊᘐ
Aw!,b!8SJ!,Πⵀᑯ⁊ᘕⵀ
Awful,q8%NqPzz,ᕬᑯȎ¦ᕬ⸝⁷⁷
Baby,"b!""LCvy",Πⵀⴱ☓ⵢ⁼ᴺ
Back,aP%8Fy,റ⸝Ȏᑯᘐᴺ
Back (cl),"b""NS",Πⴱ¦⁊
Backpack 1,a!8:Ly,റⵀᑯᑲ☓ᴺ
Backpack 2,dR!8:FLvzzy,∣℩ⵀᑯᑲᘐ☓⁼⁷⁷ᴺ
Backpack 3,a!8:FLvzzy,റⵀᑯᑲᘐ☓⁼⁷⁷ᴺ
Bacon,h((LKAB,⫪ᓂᓂ☓≈ᐸᐳ
Bad,b#6LIGNEzzN,Πⵚ⩇☓ᘖᕤ¦Ṿ⁷⁷¦
Bake,b!!<S9SG,ΠⵀⵀЭ⁊ɤ⁊ᕤ
Bald 1,qP!0(H,ᕬ⸝ⵀᨓᓂꕊ
Bald 2,"qP!s""H",ᕬ⸝ⵀരⴱꕊ
Ball,pR!!Ly,Ж℩ⵀⵀ☓ᴺ
Banana,dR(d%PMEy,∣℩ᓂ∣Ȏ⸝ⴳṾᴺ
Bandage,"h#""MAJ""",⫪ⵚⴱⴳᐸᘕⴱ
Barber,u%/1Fhvy-b$;=MEv,ᐯȎᕂᕃᘐ⫪⁼ᴺ-ΠⵕᕟᕞⴳṾ⁼
Bark,"b((6SJ""Gvy",Πᓂᓂ⩇⁊ᘕⴱᕤ⁼ᴺ
Baseball,s&%LGBvy,രO̮Ȏ☓ᕤᐳ⁼ᴺ
Basketball,p!!J%vy,ЖⵀⵀᘕȎ⁼ᴺ
Bath,a!8:MEDvzzy,റⵀᑯᑲⴳṾᐲ⁼⁷⁷ᴺ
Bathe,a!8:MEDvy,റⵀᑯᑲⴳṾᐲ⁼ᴺ
Bawl out,s&%LGpv,രO̮Ȏ☓ᕤЖ⁼
Be behind in,aP($LFy,റ⸝ᓂⵕ☓ᘐᴺ
Be raised,"b""8SD5SN",Πⴱᑯ⁊ᐲᒍ⁊¦
Bear,p!:8MEpRvy,ЖⵀᑲᑯⴳṾЖ℩⁼ᴺ
Bear [a child],"b""!LIE",Πⴱⵀ☓ᘖṾ
Bear with,a%6ME,റȎ⩇ⴳṾ
Beard,c!57LJGv&&L,Сⵀᒍᒐ☓ᘕᕤ⁼O̮O̮☓
Beat 1,s%&EuL,രȎO̮Ṿᐯ☓
Beat 2,s%&EhL,രȎO̮Ṿ⫪☓
Beat 3,s(Gu,രᓂᕤᐯ
Beat 4,s(Gh,രᓂᕤ⫪
"Beat up, abuse",s(d%PLALBy,രᓂ∣Ȏ⸝☓ᐸ☓ᐳᴺ
Become,b!!MJx,Πⵀⵀⴳᘕᙾ
Bee 1,bee,ΠΩΩ
Bee 2,fQ!5L-b%5LG,ᗐₒⵀᒍ☓-ΠȎᒍ☓ᕤ
Before 1,b!8FbSL,ΠⵀᑯᘐΠ⁊☓
Before 2,bS(b!LF,Π⁊ᓂΠⵀ☓ᘐ
Beg,"p""b""MpRy",ЖⴱΠⴱⴳЖ℩ᴺ
Behind 1,aP($LFzz,റ⸝ᓂⵕ☓ᘐ⁷⁷
Behind 2,aP($FBGL,റ⸝ᓂⵕᘐᐳᕤ☓
Believe,d(0L-c**EL,∣ᓂᨓ☓-СⴲⴲṾ☓
Bell,s%b!L-p%b!KA,രȎΠⵀ☓-ЖȎΠⵀ≈ᐸ
Bell ring,s%b!BL-p%b!JyA,രȎΠⵀᐳ☓-ЖȎΠⵀᘕᴺᐸ
Belly,b#<MEDy,ΠⵚЭⴳṾᐲᴺ
Below,"b""!LE",Πⴱⵀ☓Ṿ
Belt,h((<J!BAL,⫪ᓂᓂЭᘕⵀᐳᐸ☓
Bend,"oS!!MJ""v",О⁊ⵀⵀⴳᘕⴱ⁼
Berry,o*d(MJy,Оⴲ∣ᓂⴳᘕᴺ
Best,b#6LADaP,Πⵚ⩇☓ᐸᐲറ⸝
Bet,b&&IBAN,ΠO̮O̮ᘖᐳᐸ¦
Better,b#6LAaP,Πⵚ⩇☓ᐸറ⸝
Bicycle 1,s%%Hwy,രȎȎꕊᣛᴺ
Bicycle 2,s%%GEwy,രȎȎᕤṾᣛᴺ
Bicycle 3,s%%Hwzzy,രȎȎꕊᣛ⁷⁷ᴺ
Bid,b(2SDN,Πᓂᖌ⁊ᐲ¦
Bird,"g""6MoQy",⊃ⴱ⩇ⴳОₒᴺ
Birthday,"b!9L-b""!L",Πⵀɤ☓-Πⴱⵀ☓
Bite 1,c!b%GoL,СⵀΠȎᕤО☓
Bite 2,c!b&DoL,СⵀΠO̮ᐲО☓
Bite nails,pR!6By,Ж℩ⵀ⩇ᐳᴺ
Black,d%P0MA,∣Ȏ⸝ᨓⴳᐸ
Blanket,bS%9<Ly,Π⁊ȎɤЭ☓ᴺ
Bless,"a""6LEGpv",റⴱ⩇☓ṾᕤЖ⁼
Blood,"d(6L-p#""LKE",∣ᓂ⩇☓-Жⵚⴱ☓≈Ṿ
Blood pressure (cuff),c*)PLy,Сⴲᓇ⸝☓ᴺ
Bloom,"b$$MJ""pS",ΠⵕⵕⴳᘕⴱЖ⁊
Blouse,p%8:LJE;=Lv,ЖȎᑯᑲ☓ᘕṾᕟᕞ☓⁼
Blow,"oS""6LGpS",О⁊ⴱ⩇☓ᕤЖ⁊
Blue,b&Iy,ΠO̮ᘖᴺ
Boast,aP%;=Lwy,റ⸝Ȏᕟᕞ☓ᣛᴺ
Boat,bR&&LGvy,Π℩O̮O̮☓ᕤ⁼ᴺ
Body,b#8:LELv,Πⵚᑯᑲ☓Ṿ☓⁼
Boil,p(b!<S9SKy,ЖᓂΠⵀЭ⁊ɤ⁊≈ᴺ
Bomb,s&%LABpSy,രO̮Ȏ☓ᐸᐳЖ⁊ᴺ
Book,b!!LJvy,Πⵀⵀ☓ᘕ⁼ᴺ
Boot,"b&s""SLy",ΠO̮രⴱ⁊☓ᴺ
Bored,d(3MJ,∣ᓂ⦣ⴳᘕ
Borrow,k&%LJ%Fv,७O̮Ȏ☓ᘕȎᘐ⁼
Boss,pR!8ELy,Ж℩ⵀᑯṾ☓ᴺ
Bother,b&bP+GLy,ΠO̮Π⸝◷ᕤ☓ᴺ
Bow tie,hS!!9HLABhQ,⫪⁊ⵀⵀɤꕊ☓ᐸᐳ⫪ₒ
Bowl,bR&&LABIDv,Π℩O̮O̮☓ᐸᐳᘖᐲ⁼
Boy,cS%0MoSy,С⁊ȎᨓⴳО⁊ᴺ
Bra,cQ!9MABy,Сₒⵀɤⴳᐸᐳᴺ
Bracelet,"cQ*s""SELy",Сₒⴲരⴱ⁊Ṿ☓ᴺ
Braid 1,a!!2JxyE,റⵀⵀᖌᘕᙾᴺṾ
Braid 2,aQ!!2JxyE,റₒⵀⵀᖌᘕᙾᴺṾ
Brave,pR!8:LGszzv,Ж℩ⵀᑯᑲ☓ᕤര⁷⁷⁼
Bread,"bS!b""LEy",Π⁊ⵀΠⴱ☓Ṿᴺ
Break,s%%LJAB,രȎȎ☓ᘕᐸᐳ
Break down,pR((LJ!Ev,Ж℩ᓂᓂ☓ᘕⵀṾ⁼
Break open egg,c!!LIEv,Сⵀⵀ☓ᘖṾ⁼
Breast,bS!8LB:L,Π⁊ⵀᑯ☓ᐳᑲ☓
Breath,p!9<Gvzzy,ЖⵀɤЭᕤ⁼⁷⁷ᴺ
Breathe 1,p!9<Gvy,ЖⵀɤЭᕤ⁼ᴺ
Breathe 2,p!9<GFvy,ЖⵀɤЭᕤᘐ⁼ᴺ
Bribe,oS$b!MZGN,О⁊ⵕΠⵀⴳ⊥ᕤ¦
Bridge,u(b!LBL,ᐯᓂΠⵀ☓ᐳ☓
Bright,o!!LDABp,Оⵀⵀ☓ᐲᐸᐳЖ
Bring,b((8PF9Sv,Πᓂᓂᑯ⸝ᘐɤ⁊⁼
"Broad face, round face",c!57N,Сⵀᒍᒐ¦
Broke,b%8(ALv,ΠȎᑯᓂᐸ☓⁼
Broken down,pR((LJ!Ev,Ж℩ᓂᓂ☓ᘕⵀṾ⁼
Broom,b&!FLFzzy,ΠO̮ⵀᘐ☓ᘐ⁷⁷ᴺ
Brother,dP%0L-dP&%L,∣⸝Ȏᨓ☓-∣⸝O̮Ȏ☓
Brown,b%5ME,ΠȎᒍⴳṾ
Bruise,b&I-c&)PL,ΠO̮ᘖ-СO̮ᓇ⸝☓
Brush,aQ!/Ezzy,റₒⵀᕂṾ⁷⁷ᴺ
Brush [hair],aQ!/Ey,റₒⵀᕂṾᴺ
Brush teeth,d%6By,∣Ȏ⩇ᐳᴺ
Build,"b#""LwyD",Πⵚⴱ☓ᣛᴺᐲ
Building,"b#""ELwy",ΠⵚⴱṾ☓ᣛᴺ
Bull 1,fQ*3Ly,ᗐₒⴲ⦣☓ᴺ
Bull 2,"iP""0Ly",Һ⸝ⴱᨓ☓ᴺ
Bumper-to-bumper traffic,p($Gvy,Жᓂⵕᕤ⁼ᴺ
Bumpy,b%&LJyG,ΠȎO̮☓ᘕᴺᕤ
Burn 1,bhrhS,Π⫪୪⫪⁊
Burn 2,pS&&KDv,Ж⁊O̮O̮≈ᐲ⁼
Burn down,s!DpKDv,രⵀᐲЖ≈ᐲ⁼
Burst into tears,dR!2Q4QLIEv,∣℩ⵀᖌₒᖍₒ☓ᘖṾ⁼
Bury,"b%%LJ""Fv",ΠȎȎ☓ᘕⴱᘐ⁼
Bus,b&%LFx,ΠO̮Ȏ☓ᘐᙾ
Busy,"b$""MC",Πⵕⴱⴳⵢ
But,"d#""QLAB",∣ⵚⴱₒ☓ᐸᐳ
Butter,h#b!LFy,⫪ⵚΠⵀ☓ᘐᴺ
Butterfly,bP++MbTvy,Π⸝◷◷ⴳΠ℩⸝⁼ᴺ
Buy,oS(b!LGE,О⁊ᓂΠⵀ☓ᕤṾ
Bye,b!NbRy,Πⵀ¦Π℩ᴺ
Cabbage,pR$/Ly,Ж℩ⵕᕂ☓ᴺ
Cafeteria,c%6LBL,СȎ⩇☓ᐳ☓
California 1,jP(2L-iP&Iy,Ч⸝ᓂᖌ☓-Һ⸝O̮ᘖᴺ
California 2,jP(2LiPy,Ч⸝ᓂᖌ☓Һ⸝ᴺ
Call on phone,iP!5FL,Һ⸝ⵀᒍᘐ☓
"Call, summon","b#""LFa",Πⵚⴱ☓ᘐറ
"Calm down, settle down",p%%Evy,ЖȎȎṾ⁼ᴺ
Camel,b&AJ,ΠO̮ᐸᘕ
Camera 1,dP%dT%57NdTy,∣⸝Ȏ∣℩⸝Ȏᒍᒐ¦∣℩⸝ᴺ
Camera 2,dP%%57NdTy,∣⸝ȎȎᒍᒐ¦∣℩⸝ᴺ
"Camp, tent",j((LEAB,Чᓂᓂ☓Ṿᐸᐳ
Camping,j((LEABy,Чᓂᓂ☓Ṿᐸᐳᴺ
Can,s!Ev,രⵀṾ⁼
Canada,a!8Ly,റⵀᑯ☓ᴺ
Candle,p$d(MK,Жⵕ∣ᓂⴳ≈
Candy,d(6MJy,∣ᓂ⩇ⴳᘕᴺ
Can't,"d#""QELE",∣ⵚⴱₒṾ☓Ṿ
"Capture, arrest","pR$""GsLv",Ж℩ⵕⴱᕤര☓⁼
Car,s&EDwzzy,രO̮Ṿᐲᣛ⁷⁷ᴺ
Car accident,p((BAsLzz,Жᓂᓂᐳᐸര☓⁷⁷
Cards,aQ!!LJ&y,റₒⵀⵀ☓ᘕO̮ᴺ
Carpenter,s&b!MGFy,രO̮Πⵀⴳᕤᘐᴺ
Carrot 1,aP%b!LJy,റ⸝ȎΠⵀ☓ᘕᴺ
Carrot 2,s%6J!y,രȎ⩇ᘕⵀᴺ
Carry,b&&AENvyA,ΠO̮O̮ᐸṾ¦⁼ᴺᐸ
Cast a spell,s%%Gpv,രȎȎᕤЖ⁼
Cat 1,fQ!5FLFy,ᗐₒⵀᒍᘐ☓ᘐᴺ
Cat 2,gX!5LAfQy,⊃ѵⵀᒍ☓ᐸᗐₒᴺ
Catch,p!!Fc$$L,ЖⵀⵀᘐСⵕⵕ☓
Catch up,aP($GL,റ⸝ᓂⵕᕤ☓
Cause,s&%LGpRv,രO̮Ȏ☓ᕤЖ℩⁼
Ceiling,b%%0SLAB,ΠȎȎᨓ⁊☓ᐸᐳ
Celebrate,aQ!/1Hvy,റₒⵀᕂᕃꕊ⁼ᴺ
Cent 1,d(/LGN,∣ᓂᕂ☓ᕤ¦
Cent 2,d(0LGN,∣ᓂᨓ☓ᕤ¦
Center,bS!b!HL,Π⁊ⵀΠⵀꕊ☓
Certificate,c$$BALy,Сⵕⵕᐳᐸ☓ᴺ
Certify,c$$BAL,Сⵕⵕᐳᐸ☓
Chair,"hR#""QLy",⫪℩ⵚⴱₒ☓ᴺ
Challenge,aP((JLv,റ⸝ᓂᓂᘕ☓⁼
Change,oQ!!MJx,Оₒⵀⵀⴳᘕᙾ
Change mind,u(Q/LI(RL,ᐯᓂₒᕂ☓ᘖᓂ℩☓
Charge (credit card),s&b!MABNzz,രO̮Πⵀⴳᐸᐳ¦⁷⁷
"Charge, cost",dR(b!ELE,∣℩ᓂΠⵀṾ☓Ṿ
Chase,aP($HyG,റ⸝ᓂⵕꕊᴺᕤ
Chat,p&;=J&Evy,ЖO̮ᕟᕞᘕO̮Ṿ⁼ᴺ
Cheat,u+b%ELy,ᐯ◷ΠȎṾ☓ᴺ
Check,d(3L-d#b!LG,∣ᓂ⦣☓-∣ⵚΠⵀ☓ᕤ
Cheek,bS#5MH,Π⁊ⵚᒍⴳꕊ
Cheese,pRbMJy,Ж℩Πⴳᘕᴺ
"Chemistry, science",aP%EGwy,റ⸝ȎṾᕤᣛᴺ
Cherish,e!6LEs,Ωⵀ⩇☓Ṿര
Cherry,o*i(MJy,ОⴲҺᓂⴳᘕᴺ
Chest,b#8:MEDvy,ΠⵚᑯᑲⴳṾᐲ⁼ᴺ
Chicago,c&AE,СO̮ᐸṾ
Children,b!EvyAB,ΠⵀṾ⁼ᴺᐸᐳ
Chin,g*6MGy,⊃ⴲ⩇ⴳᕤᴺ
Chinese 1,d(2QMJy,∣ᓂᖌₒⴳᘕᴺ
Chinese 2,d(:MANEN,∣ᓂᑲⴳᐸ¦Ṿ¦
Chocolate,"c$s""MHy",Сⵕരⴱⴳꕊᴺ
Choke,c*9(L,Сⴲɤᓂ☓
Choose,"gX""FfQ",⊃ѵⴱᘐᗐₒ
Chop,b&!LyJ!,ΠO̮ⵀ☓ᴺᘕⵀ
Chop [tree],b&)BLy,ΠO̮ᓇᐳ☓ᴺ
Christmas 1,c!/SJ,Сⵀᕂ⁊ᘕ
Christmas 2,pR%6LJE9L,Ж℩Ȏ⩇☓ᘕṾɤ☓
Church,"c#s""Ly",Сⵚരⴱ☓ᴺ
Cigarette,j#d%PLy,Чⵚ∣Ȏ⸝☓ᴺ
Clam,"bR$$MJ""J!v",Π℩ⵕⵕⴳᘕⴱᘕⵀ⁼
Clash,o!!LAB-p!!L,Оⵀⵀ☓ᐸᐳ-Жⵀⵀ☓
Class,c%%LJLv,СȎȎ☓ᘕ☓⁼
Clean (adj),b!!LG,Πⵀⵀ☓ᕤ
Clean (v),b!!LGy,Πⵀⵀ☓ᕤᴺ
Clever,qP!/LIG,ᕬ⸝ⵀᕂ☓ᘖᕤ
Climb 1,pR!GNwyD,Ж℩ⵀᕤ¦ᣛᴺᐲ
Climb 2,uR(KDA,ᐯ℩ᓂ≈ᐲᐸ
Clip-nails,aP(p(QNsQyG,റ⸝ᓂЖᓂₒ¦രₒᴺᕤ
Clobber,s&%LGJ&Ev,രO̮Ȏ☓ᕤᘕO̮Ṿ⁼
Clock (wall),"dR!s""SL-cQ!!3PN",∣℩ⵀരⴱ⁊☓-Сₒⵀⵀ⦣⸝¦
Close,b%%BAL,ΠȎȎᐳᐸ☓
Close door,b%%IAL,ΠȎȎᘖᐸ☓
Close window,b&%EL,ΠO̮ȎṾ☓
Closet,dR#d%LyA,∣℩ⵚ∣Ȏ☓ᴺᐸ
"Cloth, material",a!6MCy,റⵀ⩇ⴳⵢᴺ
Clothes,p%8:LEvy,ЖȎᑯᑲ☓Ṿ⁼ᴺ
Clown,pR!3Ly,Ж℩ⵀ⦣☓ᴺ
Coat,aP!8:MEBA,റ⸝ⵀᑯᑲⴳṾᐳᐸ
Coconut,c!!LGvy,Сⵀⵀ☓ᕤ⁼ᴺ
Coffee,s&%MHy,രO̮Ȏⴳꕊᴺ
Coke,dP()SMK,∣⸝ᓂᓇ⁊ⴳ≈
Cold,s!!BAy,രⵀⵀᐳᐸᴺ
"Collect, gather",pR&b!J!yB,Ж℩O̮Πⵀᘕⵀᴺᐳ
College,b!!LAD,Πⵀⵀ☓ᐸᐲ
Color,p#6MK,Жⵚ⩇ⴳ≈
Columns,cQ&OSEyA,СₒO̮¦ᐨ⁊Ṿᴺᐸ
Comb (v),pR!/Ey,Ж℩ⵀᕂṾᴺ
Comb (n),pR!/Ezzy,Ж℩ⵀᕂṾ⁷⁷ᴺ
Combine,pR++BAL,Ж℩◷◷ᐳᐸ☓
Come,d&&FdSv,∣O̮O̮ᘐ∣⁊⁼
Come together,c!!BAL,Сⵀⵀᐳᐸ☓
Comfortable,"b!""LAw",Πⵀⴱ☓ᐸᣛ
"Command, order","d""Q6LAJ!G",∣ⴱₒ⩇☓ᐸᘕⵀᕤ
Communicate,c%6LGwy,СȎ⩇☓ᕤᣛᴺ
Commute,"aP""GFy",റ⸝ⴱᕤᘐᴺ
Compare,"c""Jwy",Сⴱᘕᣛᴺ
Comparison,c&Jwzzy,СO̮ᘕᣛ⁷⁷ᴺ
Compass,k!b!MJy,७ⵀΠⵀⴳᘕᴺ
"Compete, race",aP!!JIxy,റ⸝ⵀⵀᘕᘖᙾᴺ
Complain,pR!9Ly,Ж℩ⵀɤ☓ᴺ
"Complete, end",b&%MA-b#(ME,ΠO̮Ȏⴳᐸ-ΠⵚᓂⴳṾ
Computer,c$0Ly,Сⵕᨓ☓ᴺ
Concentrate,c&%Msvzz,СO̮Ȏⴳര⁼⁷⁷
"Confess, admit",bT!;=LDJGv,Π℩⸝ⵀᕟᕞ☓ᐲᘕᕤ⁼
Conflict,d((BA&P%PL,∣ᓂᓂᐳᐸO̮⸝Ȏ⸝☓
Confuse,d(0L-pR!!Hwy,∣ᓂᨓ☓-Ж℩ⵀⵀꕊᣛᴺ
Connect,gX!!ABfQL,⊃ѵⵀⵀᐸᐳᗐₒ☓
"Conquer, beat","s$""SMJ!",രⵕⴱ⁊ⴳᘕⵀ
"Control, manage",aQ!!GFxy,റₒⵀⵀᕤᘐᙾᴺ
Convince,b&d%PBL,ΠO̮∣Ȏ⸝ᐳ☓
Cook,b!!LJL,Πⵀⵀ☓ᘕ☓
Copy,pS$b!FoSEL,Ж⁊ⵕΠⵀᘐО⁊Ṿ☓
Copy machine,p!b!LEoy,ЖⵀΠⵀ☓ṾОᴺ
Corn,d%P3MJy,∣Ȏ⸝⦣ⴳᘕᴺ
Corn on the cob,c!!6DJ!Gvy,Сⵀⵀ⩇ᐲᘕⵀᕤ⁼ᴺ
"Correct, cancel",d(b!LELF,∣ᓂΠⵀ☓Ṿ☓ᘐ
Correspond,s!!Bdwy,രⵀⵀᐳ∣ᣛᴺ
Cough (v),c!9MJ&y,СⵀɤⴳᘕO̮ᴺ
Cough (n),c!9MJ&zzy,СⵀɤⴳᘕO̮⁷⁷ᴺ
Count,fQ!b!MGy,ᗐₒⵀΠⵀⴳᕤᴺ
Country 1,b!)MHy,Πⵀᓇⴳꕊᴺ
Country 2,iP!s)MHy,Һ⸝ⵀരᓇⴳꕊᴺ
Cousin (unisex),c%2Iy,СȎᖌᘖᴺ
"Cousin, female",c!5Iy,Сⵀᒍᘖᴺ
"Cousin, male",c!/Iy,Сⵀᕂᘖᴺ
Cow,iP%/MIy,Һ⸝Ȏᕂⴳᘖᴺ
Cracked,b&!MEFE,ΠO̮ⵀⴳṾᘐṾ
Crawl,"uR""b!MKA",ᐯ℩ⴱΠⵀⴳ≈ᐸ
Crayon,p#6MK-oS!b!MGy,Жⵚ⩇ⴳ≈-О⁊ⵀΠⵀⴳᕤᴺ
Crew-cut,g$0(MDF,⊃ⵕᨓᓂⴳᐲᘐ
Crow,"oQ""6Ggy",Оₒⴱ⩇ᕤ⊃ᴺ
Crowd,s%%9SJFzzv,രȎȎɤ⁊ᘕᘐ⁷⁷⁼
"Crumpled, wrinkled",p!!JpRx,ЖⵀⵀᘕЖ℩ᙾ
Cry,d(57MEdRvy,∣ᓂᒍᒐⴳṾ∣℩⁼ᴺ
Cup 1,c&b!LDy,СO̮Πⵀ☓ᐲᴺ
Cup 2,c&b!Ly,СO̮Πⵀ☓ᴺ
Curious,fQ!9(MJy,ᗐₒⵀɤᓂⴳᘕᴺ
Curl hair,r%/1DFENvyF,୪ȎᕂᕃᐲᘐṾ¦⁼ᴺᘐ
Curtains,n%%MABD,ቨȎȎⴳᐸᐳᐲ
Cut 1,"d(b""MA",∣ᓂΠⴱⴳᐸ
Cut 2,d(b!MA,∣ᓂΠⵀⴳᐸ
Cut class,d#qP!BLBy,∣ⵚᕬ⸝ⵀᐳ☓ᐳᴺ
Cut hair,u%57Ghvy,ᐯȎᒍᒐᕤ⫪⁼ᴺ
Cute,h#6LEy,⫪ⵚ⩇☓Ṿᴺ
Dance (n),uS(b!Izzy,ᐯ⁊ᓂΠⵀᘖ⁷⁷ᴺ
Dance (v),uS!b!Iy,ᐯ⁊ⵀΠⵀᘖᴺ
Dark,b&&5S7SJ&BA,ΠO̮O̮ᒍ⁊ᒐ⁊ᘕO̮ᐳᐸ
Darn,s&b!ELJD,രO̮ΠⵀṾ☓ᘕᐲ
Darts,aQ!GcQy,റₒⵀᕤСₒᴺ
Daughter,b%6L-b&)RL,ΠȎ⩇☓-ΠO̮ᓇ℩☓
Day,"d)b""MJ!BL",∣ᓇΠⴱⴳᘕⵀᐳ☓
Dead,"b""JA",Πⴱᘕᐸ
Deaf,d#2LG6L,∣ⵚᖌ☓ᕤ⩇☓
