category,code,description
location,fjv,Tip of middle finger
location,gk,Pelvic area
location,fjy,Tip of pinky finger
location,fjw,Tip of ring finger
location,fk,Foot
location,fly,Tip of pinky finger
location,lk,Leg
action_descriptor,-,Single articulation of the motion.
action_descriptor,=,Repeated or reduplicated motion.
action_descriptor,~,Mirrored repeating or alternating motion.
action_descriptor,-/,Single articulation of the motion with non-dominant hand
movement,a,Linear motion forward.
movement,k,Linear motion downward.
movement,j,Linear motion outward.
movement,i,Linear motion upward.
movement,zsj,Wiggling of the wrist.
movement,t,Linear motion inward.
movement,e,Linear motion backward.
movement,rt,Rotational motion about inward axis.
movement,z,Wiggling motion.
movement,o,Pinching motion.
movement,i'k,Diagonal motion upward and downward.
movement,j't,Diagonal motion outward and inward.
movement,re,Rotational motion about backward axis.
movement,xfj,Flexing of the fingers.
movement,zfj,Wiggling of the fingers.
movement,usj,Bending of the wrist.
movement,ri,Rotational motion about upward axis.
movement,ra,Rotational motion about forward axis.
movement,a'e,Diagonal motion forward and backward.
movement,c,Flicking motion.
movement,ufj,Bending of the fingers.
movement,rk,Rotational motion about downward axis.
movement,raj,Partial rotation (hop) about forward axis ending outward.
movement,rta,Partial rotation (hop) about inward axis ending forward.
movement,x,Flexing motion.
movement,a'k,Diagonal motion forward and downward.
movement,t'j,Diagonal motion inward and outward.
movement,j'k,Diagonal motion outward and downward.
movement,t'k,Diagonal motion inward and downward.
movement,ria,Partial rotation (hop) about upward axis ending forward.
movement,rj,Rotational motion about outward axis.
movement,rak,Partial rotation (hop) about forward axis ending downward.
movement,a'i,Diagonal motion forward and upward.
movement,j/t,"Unified inverse linear motion (dominant outward, non-dominant inward)."
movement,ri/rk,Unified inverse rotation.
movement,ret,Partial rotation (hop) about backward axis ending inward.
movement,rje,Partial rotation (hop) about outward axis ending backward.
movement,rke,Partial rotation (hop) about downward axis ending backward.
movement,rei,Partial rotation (hop) about backward axis ending upward.
movement,zo,Wiggling of the thumb/fingers in pinch configuration.
movement,i'j,Diagonal motion upward and outward.
movement,rej,Partial rotation (hop) about backward axis ending outward.
movement,rja,Partial rotation (hop) about outward axis ending forward.
movement,t/j,"Unified inverse linear motion (dominant inward, non-dominant outward)."
movement,e'k,Diagonal motion backward and downward.
movement,j'i,Diagonal motion outward and upward.
movement,rte,Partial rotation (hop) about inward axis ending backward.
movement,rtk,Partial rotation (hop) about inward axis ending downward.
movement,a'j,Diagonal motion forward and outward.
movement,e'a,Diagonal motion backward and forward.
movement,rit,Partial rotation (hop) about upward axis ending inward.
movement,rk/ri,Unified inverse rotation.
movement,k't,Diagonal motion downward and inward.
movement,fja,
movement,i'a,Diagonal motion upward and forward.
movement,rat,Partial rotation (hop) about forward axis ending inward.
movement,rek,Partial rotation (hop) about backward axis ending downward.
movement,rjk,Partial rotation (hop) about outward axis ending downward.
movement,di,
movement,rI,Rotational motion about I axis.
movement,raj/ret,Unified inverse partial rotation (hop).
movement,ret/raj,Unified inverse partial rotation (hop).
movement,ri'rk,Opposed inverse rotation.
movement,rij,Partial rotation (hop) about upward axis ending outward.
movement,rkj,Partial rotation (hop) about downward axis ending outward.
movement,zlj,Wiggling of the forearm.
movement,e'j,Diagonal motion backward and outward.
movement,e't,Diagonal motion backward and inward.
movement,i't,Diagonal motion upward and inward.
movement,i/k,"Unified inverse linear motion (dominant upward, non-dominant downward)."
movement,j'a,Diagonal motion outward and forward.
movement,rji,Partial rotation (hop) about outward axis ending upward.
movement,rti,Partial rotation (hop) about inward axis ending upward.
movement,ucfj,Bending of the shoulder and fingers.
movement,xfja,Flexing of the fingers moving forward.
movement,a't,Diagonal motion forward and inward.
movement,cfj,Flicking of the fingers.
movement,e'i,Diagonal motion backward and upward.
movement,fj'a,
movement,fj'l,
movement,fj'y,
movement,k'a,Diagonal motion downward and forward.
movement,k'i,Diagonal motion downward and upward.
movement,k'j,Diagonal motion downward and outward.
movement,rk'ri,Opposed inverse rotation.
movement,t'i,Diagonal motion inward and upward.
movement,uI,Bending upward.
movement,a/e,"Unified inverse linear motion (dominant forward, non-dominant backward)."
movement,fló,Change to handshape flo.
movement,k'e,Diagonal motion downward and backward.
movement,k't/k'j,Reciprocating diagonal motion for both hands.
movement,láleatbj,Change of handshape from la to le at radial edge of hand.
movement,rej/rat,Unified inverse partial rotation (hop).
movement,rka,Partial rotation (hop) about downward axis ending forward.
movement,rkt,Partial rotation (hop) about downward axis ending inward.
movement,zfja,Wiggling of the fingers moving forward.
movement,a'i/e'i,Reciprocating diagonal motion for both hands.
movement,a't/a'j,Reciprocating diagonal motion for both hands.
movement,cjti,
movement,cuj,Flicking at the elbow.
movement,e/a,"Unified inverse linear motion (dominant backward, non-dominant forward)."
movement,e/j,"Unified inverse linear motion (dominant backward, non-dominant outward)."
movement,fj'v,
movement,fja'l'v'w'y,
movement,fuófupj,Change to handshape fuo at fingertips/palm.
movement,hése,Change of handshape to he and then se.
movement,i'e,Diagonal motion upward and backward.
movement,i't/i'j,Reciprocating diagonal motion for both hands.
movement,j'e,Diagonal motion outward and backward.
movement,k/i,"Unified inverse linear motion (dominant downward, non-dominant upward)."
movement,k¨j,
movement,ra/re,Unified inverse rotation.
movement,rai,Partial rotation (hop) about forward axis ending upward.
movement,rat/rej,Unified inverse partial rotation (hop).
movement,re/ra,Unified inverse rotation.
movement,ri/rj,Unified inverse rotation.
movement,rj/rt,Unified inverse rotation.
movement,rja/rje,Unified inverse partial rotation (hop).
movement,rjk't,
movement,t'a,Diagonal motion inward and forward.
movement,t'e,Diagonal motion inward and backward.
movement,t/i,"Unified inverse linear motion (dominant inward, non-dominant upward)."
movement,t/k,"Unified inverse linear motion (dominant inward, non-dominant downward)."
movement,tadi,Change of handshape to ta.
movement,tjk,Change of orientation to tjk.
movement,tke,Change of orientation to tke.
movement,ucj,Bending of the shoulder or upper arm.
movement,xfj'l,
movement,zfj'a,
movement,zfjv,Wiggling of the knuckles/fingers.
movement,zj,Wiggling of the arm/hand.
